"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"Asociacion Nacional de Universidades e Instituciones de Educacion Superior A.C. (ID 22324)","Asociacion Nacional de Universidades e Instituciones de Educacion Superior A.C.10.36857","open","173","36","true","false"
"Aspendos International Academy of Medical and Social Sciences. LTD (ID 22982)","Aspendos International Academy of Medical and Social Sciences. LTD10.36962","open","228","217","true","true"
"Asploro Open Access Publications (ID 22356)","Asploro Open Access Publications10.36502","open","1","184","true","true"
"Associacao Brasileira de Antropologia (ID 28015)","Associacao Brasileira de Antropologia10.48006","open","0","83","false","true"
"Associacao Portuguesa dos Enfermeiros de Reabilitacao (ID 18641)","Associacao Portuguesa dos Enfermeiros de Reabilitacao10.33194","open","21","70","true","true"
"Association for Baha'i Studies (ID 16614)","Association for Bahai Studies10.31581","open","324","56","false","true"
"Association for Computing Machinery (ACM) (ID 320)","Association for Computing Machinery10.1145","open","446525","68588","true","true"
"Association for Spiritual Psychology and Counseling (ID 23797)","Association for Spiritual Psychology and Counseling10.37898","open","33","54","false","true"
"Association for Tourism Development in Nigeria (ID 18262)","Association for Tourism Development in Nigeria10.33281","open","12","0","true","false"
"Association Internationale de management strategique (AIMS) (ID 24668)","Association Internationale de management strategique (AIMS)10.37725","open","352","47","true","true"
"Association Marocaine pour l'Amelioration de la Qualite de l'Enseignement (ID 24758)","Association Marocaine pour l'Amelioration de la Qualite de l'Enseignement10.37870","open","164","48","true","true"
"Association of Austrian Librarians (ID 16117)","Association of Austrian Librarians10.31263","open","233","166","false","true"
"Association of Economists and Managers of the Balkans - Udekom Balkan (ID 16396)","Association of Economists and Managers of the Balkans - Udekom Balkan10.31410","open","612","522","true","true"
"Association of Forensic Medical Experts (ID 8119)","Association of Forensic Medical Experts10.19048","open","159","111","false","true"
"Association of Life-span Studies (ID 11974)","Association of Life-span Studies10.30528","open","58","24","true","false"
"Association of Lithuanian Serials (ID 3161)","Association of Lithuanian Serials10.5200","open","994","150","true","true"
"Association of Lithuanian Serials (Publications) (ID 28932)","Association of Lithuanian Serials10.5200","open","994","150","true","true"
"Association of Medical Radiology Engineers in Federation of Bosnia and Herzegovina (ID 28059)","Association of Medical Radiology Engineers in Federation of Bosnia and Herzegovina10.48026","open","0","7","false","true"
"Association of Radiographers of Nigeria (ID 28051)","Association of Radiographers of Nigeria10.48153","open","3","10","true","true"
"Association of Rice Research Workers (ID 21265)","Association of Rice Research Workers10.35709","open","121","118","false","true"
"Association of Science Editors and Publishers (ID 10152)","Association of Science Editors and Publishers10.24069","open","116","62","true","true"
"Association of Speech-Language Pathologists of the Czech Republic (ID 22671)","Association of Speech-Language Pathologists of the Czech Republic10.36833","open","33","51","true","true"
"Association of Spine Surgeons (ID 5655)","ANO Clinic of NNIITO10.14531","open","717","82","true","true"
"Association science et bien commun (ID 25962)","Association science et bien commun10.46711","open","0","38","false","true"
"Association scientifique et technique pour l'eau et l'environnement (ID 22938)","Association scientifique et technique pour l'eau et l'environnement10.36904","open","702","121","true","true"
"ASTES Journal (ID 10676)","ASTES Journal10.25046","open","673","1246","true","true"
"ASTRA National Museum Complex (ID 28602)","ASTRA National Museum Complex10.51391","open","0","31","false","true"
"Astrakhan State Technical University (ID 10236)","Astrakhan State Technical University10.24143","open","534","552","true","true"
"Ataturk Arastirma Merkezi Baskanligi (ID 29651)","Ataturk Arastirma Merkezi Baskanligi10.51824","open","0","94","false","true"
"Ataturk Arastirma Merkezi Baskanligi (ID 29651)","Union of Young Scientists and Specialists of Artsakh10.52063","open","0","94","false","true"
"Ataturk Arastirma Merkezi Dergisi (ID 19051)","Ataturk Arastirma Merkezi Dergisi10.33419","open","0","67","false","true"
"Ataturk Iletisim Dergisi (ID 18357)","Ataturk Iletisim Dergisi10.32952","open","10","27","true","true"
"Ataturk Universitesi Guzel Sanatlar Enstitusu Dergisi (ID 17729)","Ataturk Universitesi Guzel Sanatlar Enstitusu Dergisi10.32547","open","16","133","true","true"
"Ataturk Universitesi Guzel Sanatlar Fakultesi: Sanat Dergisi (ID 27366)","Ataturk Universitesi Guzel Sanatlar Fakultesi: Sanat Dergisi10.47571","open","0","39","false","true"
"Ataturk Universitesi Kazim Karabekir Egitim Fakultesi Dergisi (ID 19048)","Ataturk Universitesi Kazim Karabekir Egitim Fakultesi Dergisi10.33418","open","0","42","false","true"
"Ateneum Szkola Wyzsza (ID 22317)","Ateneum Szkola Wyzsza10.36575","open","17","49","false","true"
"Atlantis Press (ID 1574)","Atlantis Press10.2991","open","100562","42177","true","true"
"Auckland University of Technology (AUT) Library (ID 10226)","Auckland University of Technology (AUT) Library10.24135","open","1673","406","false","true"
"Auckland University of Technology (AUT) Library (ID 10226)","New Zealand Association of Psychotherapists10.9791","open","1673","406","false","true"
"Aurora Group, s.r.o (ID 5808)","Aurora Group, s.r.o10.25136","open","13882","3813","true","true"
"Aurora Group, s.r.o (ID 5808)","NB-Media, Ltd.10.7256","open","13882","3813","true","true"
"Australasian Association for Clinical Biochemistry and Laboratory Medicine (ID 18325)","Australasian Association for Clinical Biochemistry and Laboratory Medicine10.33176","open","0","24","false","true"
"Australasian College of Road Safety (ID 19008)","Australasian College of Road Safety10.33492","open","0","69","false","true"
"Australian and New Zealand Student Services Association Inc. (ID 12138)","Australian and New Zealand Student Services Association Inc.10.30688","open","23","25","false","true"
"Australian Early Medieval Association (ID 20404)","Australian Early Medieval Association10.35253","open","27","22","true","false"
"Australian Government Department of Health (ID 18788)","Australian Government Department of Health10.33321","open","0","189","false","true"
"Australian Institute for Disaster Resilience (ID 24913)","Australian Institute for Disaster Resilience10.47389","open","0","4","false","true"
"Australian Society of Plastic Surgeons (ID 20003)","Australian Society of Plastic Surgeons10.34239","open","43","78","false","true"
"Australian Tactical Medical Association (ID 19091)","Australian Tactical Medical Association10.33553","open","0","25","false","true"
"Austrian Academy of Psychology (AAP) (ID 25645)","Austrian Academy of Psychology (AAP)10.46412","open","0","8","false","true"
"Autonomous non-profit organization-Society of Specialists in the Field Innovative Medical Technology (ID 24477)","Autonomous non-profit organization-Society of Specialists in the Field Innovative Medical Technology10.37586","open","0","33","false","true"
"Avrasya Spor Bilimleri ve Egitim Dergisi (ID 27682)","Avrasya Spor Bilimleri ve Egitim Dergisi10.47778","open","0","3","false","true"
"Avrasya Terim Dergisi (ID 16497)","Avrasya Terim Dergisi10.31451","open","0","23","false","true"
"Avrasya Uluslararası Arastırmalar Dergisi (ID 19451)","Avrasya Uluslararası Arastırmalar Dergisi10.33692","open","288","318","true","true"
"Avrasya Uroonkoloji Dernegi (ID 19504)","Avrasya Uroonkoloji Dernegi10.33719","open","0","81","false","true"
"Avtonomnaya nekommercheskaya organizatsiya Akademiya menedzhmenta i biznes-administrirovaniya (ID 19875)","Avtonomnaya nekommercheskaya organizatsiya Akademiya menedzhmenta i biznes-administrirovaniya10.33983","open","0","197","false","true"
"Ayna Klinik Psikoloji Dergisi (ID 16834)","Ayna Klinik Psikoloji Dergisi10.31682","open","67","45","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Artificial Intelligence in Cancer10.35713","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Artificial Intelligence in Gastroenterology10.35712","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Artificial Intelligence in Gastrointestinal Endoscopy10.37126","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Artificial Intelligence in Medical Imaging10.35711","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co10.4292","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co10.4291","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co 10.3748","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Chinese Journal of Digestology)10.11569","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Anesthesiology)10.5313","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Cardiology)10.4330","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Chemistry)10.4331","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Clinical Cases)10.12998","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Clinical Infectious Diseases)10.5495","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Clinical Oncology)10.5306","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Clinical Pediatrics)10.5409","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Clinical Urology)10.5410","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Critical Care Medicine)10.5492","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Dermatology)10.5314","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Diabetes)10.4239","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Experimental Medicine)10.5493","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Gastrointestinal Endoscopy)10.4253","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Gastrointestinal Oncology)10.4251","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Gastrointestinal Surgery)10.4240","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Hematology)10.5315","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Hepatology)10.4254","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Hypertension)10.5494","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Immunology)10.5411","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Medical Genetics)10.5496","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Methodology)10.5662","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Nephrology)10.5527","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Neurology)10.5316","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Obstetrics and Gynecology)10.5317","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Opthalmology)10.5318","open","37293","5215","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Orthopedics)10.5312","open","37293","5215","true","true"
